Slug;Code;Title;Series;Type;UUID;Locale;Lessons;Quiz;KC;Skills
chapter-03-productivity-in-construction-scorm12-imnm9mxy;LEAN-02;Chapter 03 - Productivity in Construction;LEAN;SKILLS;;Y;2;;Y;
chapter-05-what-is-lean-scorm12-pvxdpabr;LEAN-03;Chapter 05 - What is Lean?;LEAN;SKILLS;;Y;1;;Y;SK-044, SK-050
chapter-06-a-brief-history-scorm12-d1yinukr;LEAN-04;Chapter 06 - A Brief History;LEAN;SKILLS;;Y;1;;Y;SK-041, SK-037, SK-040, SK-045, SK-050
chapter-07-how-does-lean-apply-to-construction-scorm12-wji5bpej;LEAN-05;Chapter 07 - How Does Lean Apply to Construction?;LEAN;SKILLS;;Y;1;;Y;SK-043, SK-051, SK-041, SK-044, SK-050
chapter-08-what-processes-need-to-change-scorm12-said6ikm;LEAN-06;Chapter 08 - What Processes Need to Change?;LEAN;SKILLS;;Y;2;;Y;SK-028, SK-041, SK-042, SK-050, SK-099
chapter-09-the-adoption-of-a-new-production-theory-scorm12-ypg1zg6x;LEAN-07;Chapter 09 - The Adoption of a New Production Theory;LEAN;SKILLS;;Y;1;;Y;SK-028, SK-050, SK-101
chapter-10-identifying-waste-in-construction-scorm12-rttb6txz;LEAN-08;Chapter 10 - Identifying Waste in Construction;LEAN;SKILLS;;Y;1;;Y;SK-050, SK-028, SK-040, SK-045, SK-099
chapter-11-minimizing-waste-at-a-project-level-scorm12-bb8uiief;LEAN-09;Chapter 11 - Minimizing Waste at a Project Level;LEAN;SKILLS;;Y;1;;Y;SK-050, SK-051, SK-028, SK-038, SK-099
chapter-12-empowerment-of-field-personnel-scorm12-tz6n2sy9;LEAN-10;Chapter 12 - Empowerment of Field Personnel;LEAN;SKILLS;;Y;1;;Y;SK-036, SK-037, SK-028, SK-041, SK-050
chapter-13-pull-planning-scorm12-ne5la4rr;LEAN-11;Chapter 13 - Pull Planning;LEAN;SKILLS;;Y;1;;Y;SK-028, SK-042, SK-011, SK-008, SK-009
chapter-14-the-sticky-note-format-scorm12-ipzawrxc;LEAN-12;Chapter 14 - The Sticky Note Format;LEAN;SKILLS;;Y;2;;Y;SK-028, SK-008, SK-009, SK-041, SK-042
chapter-15-continuous-improvement-scorm12-s6uwlft8;LEAN-13;Chapter 15 - Continuous Improvement;LEAN;SKILLS;;Y;1;;Y;SK-040, SK-019, SK-041, SK-050, SK-051
chapter-16-training-the-industry-scorm12-lnugtlxm;LEAN-14;Chapter 16 - Training the Industry;LEAN;SKILLS;;Y;2;;Y;SK-041, SK-046, SK-050
chapter-17-reshaping-the-industry-scorm12-ltddpgc0;LEAN-15;Chapter 17 - Reshaping the Industry;LEAN;SKILLS;;Y;1;;;SK-028, SK-044, SK-050, SK-051
chapter-4-construction-vs-manufacturing-scorm12-atugxt47;LEAN-16;Chapter 4 - Construction vs. Manufacturing;LEAN;SKILLS;;Y;1;;Y;
construction-management-introduction-to-lean-construction-scorm12-ix45_zjt;LEAN-17;Construction Management: Introduction to Lean Construction;LEAN;SKILLS;;Y;17;;Y;SK-044, SK-028, SK-037, SK-040, SK-042
on-site-productivity-scorm12-m7-7zmzj;LEAN-18;On-Site Productivity;LEAN;SKILLS;;;0;;;SK-049
the-eight-wastes-of-construction-scorm12-9_faca08;LEAN-19;The Eight Wastes of Construction;LEAN;SKILLS;;;0;;;SK-050
what-is-lean-scorm12-5l-lsg8r;LEAN-20;"What is ""LEAN""";LEAN;SKILLS;;;0;;;
abnormal-lockout-removal-procedures-scorm12-nyjwgrko;LOTO-00;Abnormal Lockout Removal Procedures;LOTO;SKILLS;;Y;1;;;SK-018, SK-096, SK-008, SK-009, SK-052
complex-lockout-tagout-procedures-scorm12-hn7-fup1;LOTO-01;Complex Lockout-Tagout Procedures;LOTO;SKILLS;;Y;1;;;SK-094, SK-096, SK-083, SK-095, SK-098
lockout-tagout-procedures-scorm12-l3swtzib;LOTO-02;Lockout Tagout Procedures;LOTO;SKILLS;;Y;7;;;SK-096, SK-005, SK-065, SK-079, SK-083
lockout-tagout-procedures-abnormal-lockout-removal-procedures-scorm12-x9mn1h5s;LOTO-03;Lockout Tagout Procedures - Abnormal Lockout Removal Procedures;LOTO;SKILLS;;;0;;;SK-096
lockout-tagout-procedures-complex-lockout-tagout-procedures-scorm12-r6juiurw;LOTO-04;Lockout Tagout Procedures - Complex Lockout-Tagout Procedures;LOTO;SKILLS;;;0;;;SK-094, SK-096
lockout-tagout-procedures-hazardous-energy-control-lockout-tagout-scorm12-berhmiwr;LOTO-05;Lockout Tagout Procedures - Hazardous Energy Control (Lockout Tagout);LOTO;SKILLS;;;0;;;SK-095, SK-096
lockout-tagout-procedures-return-to-service-procedures-scorm12-_dkqhcuy;LOTO-06;Lockout Tagout Procedures - Return To Service Procedures;LOTO;SKILLS;;;0;;;SK-082, SK-096
lockout-tagout-procedures-simple-lockout-tagout-procedures-scorm12-rj5zpfvf;LOTO-07;Lockout Tagout Procedures - Simple Lockout-Tagout Procedures;LOTO;SKILLS;;;0;;;SK-096, SK-098
lockout-tagout-procedures-verifying-a-de-energized-condition-scorm12-ukdghbg_;LOTO-08;Lockout Tagout Procedures - Verifying a De-Energized Condition;LOTO;SKILLS;;;0;;;SK-096
return-to-service-procedures-scorm12-m0ufppq_;LOTO-09;Return To Service Procedures;LOTO;SKILLS;;Y;1;;;SK-082, SK-054, SK-065, SK-083
simple-lockout-tagout-procedures-scorm12-9lnzkite;LOTO-10;Simple Lockout-Tagout Procedures;LOTO;SKILLS;;Y;1;;;SK-098, SK-096, SK-013, SK-030, SK-066
verifying-a-de-energized-condition-scorm12-tl-lwmmj;LOTO-11;Verifying a De-Energized Condition;LOTO;SKILLS;;Y;1;;;SK-096, SK-063, SK-079, SK-083
approving-change-orders-in-view-point-scorm12-eorbjkg_;PC-00;Approving Change Orders in ViewPoint;PC;SKILLS;;Y;1;;Y;SK-123, SK-121
creating-a-pending-change-orders-in-view-point-scorm12-cir_kuef;PC-01;Creating a Pending Change Orders in ViewPoint;PC;SKILLS;;Y;1;;Y;SK-123, SK-121
conducting-effective-performance-reviews-scorm12-8ihyn2kz;PERF-00;Conducting Effective Performance Reviews;PERF;SKILLS;;Y;1;;Y;SK-026, SK-019, SK-027, SK-031, SK-035
conducting effective performance reviews - scorm;PERF-01;Conducting effective Performance Reviews - AI video generated with Synthesia;PERF;SKILLS;;;0;;;SK-026
corrective-counseling-and-performance-reviews-d-scorm12-dgptjd8r;PERF-02;Corrective Counseling and Performance Reviews (d);PERF;SKILLS;;;0;;;SK-021, SK-026, SK-101
performance-management-scorm12-yNAMmSEg;PERF-03;Performance Management;PERF;SKILLS;;Y;9;;Y;SK-011, SK-028, SK-079
introduction-to-planning-and-controlling-hazards-t-r-a-c-k-scorm12-nrpeh-rf;SAFE-00;Introduction to planning and Controlling Hazards - T.R.A.C.K.;SAFE;SKILLS;;Y;8;;;SK-028, SK-030, SK-080, SK-083
osh-as-focus-four-workplace-hazards-scorm12-_eefrmuc;SAFE-01;OSHA’s Focus Four Workplace Hazards;SAFE;SKILLS;;;0;;;SK-081
workplace-inspections-pre-task-assessments-briefings-scorm12-mpjt1kbi;SAFE-02;Workplace Inspections, Pre-Task Assessments, Briefings;SAFE;SKILLS;;;0;;;SK-054, SK-080, SK-081, SK-086
safety-coordinator-10-0-injury-case-management-scorm12-bhn-skit;SC-00;Safety Coordinator - 10.0 Injury & Case Management;SC;SKILLS;;;0;;;SK-073, SK-083
safety-coordinator-11-0-osha-msha-inspections-scorm12-1cfxq7kp;SC-01;Safety Coordinator - 11.0 OSHA & MSHA Inspections;SC;SKILLS;;;0;;;SK-081, SK-054, SK-083
safety-coordinator-4-0-task-training-scorm12-1lqdglp;SC-02;Safety Coordinator - 4.0 Task Training;SC;SKILLS;;;0;;;SK-083
safety-coordinator-5-0-safety-meetings-scorm12--kplybaq;SC-03;Safety Coordinator - 5.0 Safety Meetings;SC;SKILLS;;;0;;;SK-083
safety-coordinator-6-0-project-planning-identifying-hazards-scorm12-pa7utguc;SC-04;Safety Coordinator - 6.0 Project Planning & Identifying Hazards;SC;SKILLS;;;0;;;SK-028, SK-029, SK-030, SK-083
safety-coordinator-7-0-safety-inspections-scorm12-dsf-btet;SC-05;Safety Coordinator - 7.0 Safety Inspections;SC;SKILLS;;;0;;;SK-054, SK-081, SK-083, SK-086
safety-coordinator-8-0-disciplinary-action-scorm12-efm1bzaa;SC-06;Safety Coordinator - 8.0 Disciplinary Action;SC;SKILLS;;;0;;;SK-083
safety-coordinator-9-0-accident-incident-investigations-scorm12-viiehqfz;SC-07;Safety Coordinator - 9.0 Accident & Incident Investigations;SC;SKILLS;;;0;;;SK-072, SK-083
a-commitment-to-zero-broken-lives-new-hire-safety-orientation-scorm12-k9ggo4z0;SO-00;A Commitment to Zero Broken Lives- New Hire Safety Orientation;SO;SKILLS;;Y;2;;;SK-083, SK-019
commitment-to-safety-a-shared-responsibility-new-hire-safety-orientation-scorm12-2jvergv-;SO-01;Commitment to Safety : A Shared Responsibility- New Hire Safety Orientation;SO;SKILLS;;Y;2;;;SK-083, SK-040
