course_id,filename,title,skill_level_set,category,proficiency_level,series_name,series_order
172f-41c2-94bb-0a8dce777c94,d226d1a8-172f-41c2-94bb-0a8dce777c94.zip,Values Driven Leadership : 3 Cultivate a Winning Team,Leadership & Field Management,Leadership & Management,Basic,,
0635-4e68-8128-ee32d9f6b657,02d67ee1-0635-4e68-8128-ee32d9f6b657.zip,Values Driven Leadership : 4 Own Your Team,Leadership & Field Management,Leadership & Management,Basic,,
93d6-4241-8c0a-15c45ba89e7a,d4544a6e-93d6-4241-8c0a-15c45ba89e7a.zip,Values Driven Leadership : 5 Making Reads,Leadership & Field Management,Leadership & Management,Basic,,
44e6-4646-8344-d7a09c854b08,7062beb5-44e6-4646-8344-d7a09c854b08.zip,Values Driven Leadership : 6 Read Your People,Leadership & Field Management,Leadership & Management,Basic,,
8bd2-4452-866c-aec8e427dd4a,4c765778-8bd2-4452-866c-aec8e427dd4a.zip,Values Driven Leadership : 7 The Ultimate Motion Offense,Leadership & Field Management,Leadership & Management,Basic,,
acc3-4ada-9d4c-179765442bbe,56ba7bcd-acc3-4ada-9d4c-179765442bbe.zip,Values Driven Leadership : 8 Effective Communication,Leadership & Field Management,Leadership & Management,Basic,,
7325-42e0-9bea-0851cc7478d7,ab28f5f2-7325-42e0-9bea-0851cc7478d7.zip,Values Driven Leadership : 9 Leading With Emotion,Leadership & Field Management,Leadership & Management,Basic,,
d9af-40ab-9427-69df0143e71d,0c553a0f-d9af-40ab-9427-69df0143e71d.zip,Values Driven Leadership: 11 Recruit and Retain All-Stars,Leadership & Field Management,Leadership & Management,Basic,,
fb62-4ad8-ba1e-d0ec6ff9b0ec,66943eda-fb62-4ad8-ba1e-d0ec6ff9b0ec.zip,Values Driven Leadership: 15 Create a Legacy of Leaders,Leadership & Field Management,Leadership & Management,Basic,,
9f5d-432c-9ab9-80e79b9d98b1,afc32b71-9f5d-432c-9ab9-80e79b9d98b1.zip,Values Driven Leadership: 16 Make a Habit of Motivation,Leadership & Field Management,Leadership & Management,Basic,,
01-embracing-lean-productivity-scorm12-rrruldwd,chapter-01-embracing-lean-productivity-scorm12-rrruldwd.zip,Chapter 01 - Embracing Lean Productivity,Lean Construction,Lean & Productivity,Awareness,Chapter 01 - Embracing Lean Productivity,1
05-what-is-lean-scorm12-pvxdpabr,chapter-05-what-is-lean-scorm12-pvxdpabr.zip,Chapter 05 - What is Lean?,Lean Construction,Lean & Productivity,Awareness,Chapter 05 - What is Lean?,5
07-how-does-lean-apply-to-construction-scorm12-wji5bpej,chapter-07-how-does-lean-apply-to-construction-scorm12-wji5bpej.zip,Chapter 07 - How Does Lean Apply to Construction?,Lean Construction,Lean & Productivity,Awareness,Chapter 07 - How Does Lean Apply to Construction?,7
10-identifying-waste-in-construction-scorm12-rttb6txz,chapter-10-identifying-waste-in-construction-scorm12-rttb6txz.zip,Chapter 10 - Identifying Waste in Construction,Lean Construction,Lean & Productivity,Proficient,Chapter 10 - Identifying Waste in Construction,10
chapter-11-minimizin,chapter-11-minimizing-waste-at-a-project-level-scorm12-bb8uiief (1).zip,Chapter 11 - Minimizing Waste at a Project Level,Lean Construction,Lean & Productivity,Proficient,Chapter 11 - Minimizing Waste at a Project Level,11
13-pull-planning-scorm12-ne5la4rr,chapter-13-pull-planning-scorm12-ne5la4rr.zip,Chapter 13 - Pull Planning,Lean Construction,Lean & Productivity,Proficient,Chapter 13 - Pull Planning,13
15-continuous-improvement-scorm12-s6uwlft8,chapter-15-continuous-improvement-scorm12-s6uwlft8.zip,Chapter 15 - Continuous Improvement,Lean Construction,Lean & Productivity,Proficient,Chapter 15 - Continuous Improvement,15
management-introduction-to-lean-construction-scorm12-ix45_zjt,construction-management-introduction-to-lean-construction-scorm12-ix45_zjt.zip,Construction Management: Introduction to Lean Construction,Lean Construction,Lean & Productivity,Awareness,,
eight-wastes-of-construction-scorm12-9_faca08,the-eight-wastes-of-construction-scorm12-9_faca08.zip,The Eight Wastes of Construction,Lean Construction,Lean & Productivity,Basic,,
is-lean-scorm12-5l-lsg8r,what-is-lean-scorm12-5l-lsg8r.zip,"What is ""LEAN""",Lean Construction,Lean & Productivity,Awareness,,
effective-performance-reviews-scorm12-8ihyn2kz,conducting-effective-performance-reviews-scorm12-8ihyn2kz.zip,Conducting Effective Performance Reviews,Performance Management,Leadership & Management,Basic,,
conducting effective,conducting effective performance reviews - scorm.zip,Conducting effective Performance Reviews - AI video generated with Synthesia,Performance Management,Leadership & Management,Basic,,
management-scorm12-yNAMmSEg,performance-management-scorm12-yNAMmSEg.zip,Performance Management,Performance Management,Leadership & Management,Proficient,,
